presupuesto_min,fuente_lead,tipo_propiedad,interacciones_iniciales,conversion
119000,1,2,4,0
144000,1,1,9,0
59000,1,3,3,0
68000,1,1,4,0
72000,1,2,2,0
87000,1,1,0,0
187000,1,1,5,1
91000,1,1,5,1
122000,2,1,7,0
306000,1,2,0,1
123000,1,2,12,0
225000,1,2,2,0
90000,1,2,5,1
134000,1,1,6,0
89000,1,1,9,0
124000,1,2,3,1
238000,1,2,6,0
58000,1,2,3,0
190000,1,1,6,1
171000,1,3,4,1
108000,2,1,0,1
68000,1,2,5,0
156000,1,1,5,1
112000,1,2,8,0
170000,1,1,4,0
152000,1,2,2,0
362000,2,1,10,0
131000,1,2,3,0
85000,2,1,3,1
166000,1,2,8,0
169000,1,1,3,1
317000,1,1,2,0
237000,1,2,4,0
183000,2,1,16,0
335000,1,1,1,0
78000,1,3,5,0
106000,1,3,4,0
90000,1,3,2,1
121000,2,1,0,1
70000,1,2,1,0
213000,1,3,2,0
133000,2,1,3,1
67000,2,2,3,1
86000,1,1,5,1
178000,1,3,4,0
238000,2,2,0,1
450000,1,2,1,0
745000,2,2,7,0
188000,1,1,5,0
87000,2,1,6,0
50000,1,2,5,1
174000,1,2,7,0
96000,1,2,2,0
119000,1,1,2,0
107000,1,2,3,0
139000,1,1,5,0
270000,1,1,5,0
164000,1,3,2,0
137000,1,2,5,1
85000,1,2,1,1
60000,1,4,2,0
115000,1,1,3,0
146000,1,3,8,1
397000,1,2,2,0
161000,2,2,4,0
258000,1,1,4,0
114000,1,1,2,0
78000,1,1,7,0
88000,1,1,3,1
101000,1,1,10,1
484000,1,2,2,0
95000,1,2,3,1
238000,1,1,6,1
91000,1,2,10,0
250000,1,3,1,0
185000,1,2,2,0
138000,2,3,12,0
147000,1,2,3,0
105000,2,1,2,0
192000,1,1,5,0
117000,1,3,7,0
76000,1,2,7,0
74000,2,3,0,1
165000,1,4,1,0
358000,1,1,2,0
164000,2,1,3,1
141000,2,2,0,1
176000,2,1,3,1
308000,2,2,3,1
169000,1,3,0,0
120000,2,2,4,0
276000,1,1,1,0
190000,1,2,2,0
349000,1,1,5,0
166000,1,3,8,1
76000,2,1,0,1
71000,1,3,12,1
372000,1,2,6,1
387000,1,1,0,0
136000,1,2,12,0
121000,1,1,0,0
335000,1,2,3,0
82000,1,3,5,0
92000,2,3,3,1
214000,1,1,4,0
121000,1,2,2,0
150000,1,3,0,0
137000,1,3,0,0
181000,1,1,5,1
325000,1,1,8,0
158000,1,3,0,0
214000,2,1,4,0
50000,2,1,3,1
146000,2,3,0,1
94000,2,1,2,0
77000,1,3,5,0
93000,1,1,3,0
125000,1,2,2,0
248000,1,4,1,1
72000,1,4,9,1
153000,2,3,3,1
115000,2,3,0,1
125000,1,1,5,0
260000,1,4,2,1
202000,1,3,2,1
313000,1,2,4,0
138000,1,1,4,0
102000,1,1,3,1
133000,2,2,0,1
171000,1,2,1,0
165000,1,1,1,0
83000,1,1,9,1
158000,1,2,0,0
170000,1,1,1,1
599000,1,4,7,0
421000,1,1,2,0
94000,1,1,7,0
128000,1,1,13,0
67000,1,3,3,1
108000,1,3,3,0
178000,1,1,3,0
291000,1,1,6,0
100000,1,1,9,0
105000,1,1,12,0
50000,1,2,0,0
137000,1,1,5,0
84000,1,2,7,1
112000,1,1,2,0
93000,1,2,3,1
142000,1,1,0,0
57000,1,1,3,1
67000,1,1,7,0
484000,1,1,13,0
74000,1,1,5,0
82000,2,4,14,0
412000,1,1,3,0
741000,1,1,0,0
79000,1,1,5,1
122000,1,3,1,0
181000,1,3,6,0
388000,1,3,1,0
87000,1,2,4,0
131000,1,3,2,1
230000,1,1,1,1
191000,1,3,0,0
122000,1,3,3,0
139000,1,1,2,0
70000,2,2,3,0
132000,2,1,0,1
130000,1,1,9,0
170000,2,3,0,1
111000,1,1,0,0
194000,2,2,11,1
262000,1,4,0,0
163000,1,2,11,0
182000,2,1,3,1
154000,1,2,3,1
150000,2,3,3,1
101000,2,1,0,1
179000,2,1,6,1
142000,1,2,3,0
474000,1,3,5,0
356000,1,1,5,0
185000,1,1,2,0
99000,1,4,4,1
81000,1,1,5,0
289000,1,1,0,0
173000,2,2,4,0
195000,1,1,5,0
57000,2,1,17,0
250000,1,2,8,0
193000,1,2,4,0
81000,1,2,2,0
116000,1,1,0,0
173000,1,2,0,0
154000,2,2,1,0
128000,1,3,4,1
142000,1,3,3,0
131000,1,2,0,0
163000,1,3,4,0
337000,1,3,13,0
50000,1,1,2,1
132000,1,4,10,0
165000,1,3,5,0
177000,1,1,4,0
122000,1,1,4,0
57000,1,2,5,1
180000,2,1,3,1
388000,1,2,0,0
65000,1,2,4,1
241000,2,1,7,0
125000,1,1,11,0
145000,1,3,5,0
84000,1,1,3,0
125000,1,2,7,1
307000,1,1,3,1
207000,1,2,5,0
389000,1,2,5,1
287000,1,1,7,0
191000,1,2,4,0
391000,2,2,6,0
191000,1,1,6,0
237000,1,1,11,0
127000,1,2,2,0
156000,1,2,3,0
102000,1,2,10,1
259000,2,3,5,1
78000,1,1,4,1
231000,2,1,6,1
135000,1,2,4,0
286000,1,2,8,0
227000,1,3,0,0
408000,1,1,6,0
224000,1,2,5,0
63000,1,2,6,0
145000,1,1,7,1
79000,1,2,0,0
113000,1,2,8,0
344000,1,1,4,0
213000,1,1,7,1
102000,1,1,0,0
86000,2,3,6,0
153000,1,1,0,0
77000,2,1,0,1
104000,1,1,3,0
178000,1,1,7,0
283000,1,1,0,0
210000,1,2,3,0
50000,1,1,1,0
177000,1,1,4,0
156000,2,1,4,0
188000,1,1,7,0
365000,1,1,0,0
50000,1,2,21,1
108000,2,2,4,0
208000,1,2,2,0
63000,2,1,3,1
338000,1,3,0,0
184000,1,2,0,1
239000,1,1,0,0
110000,1,1,2,0
235000,2,3,0,1
270000,1,1,3,0
170000,1,1,2,0
171000,2,2,5,1
174000,1,1,3,0
93000,1,4,0,1
138000,1,1,4,0
138000,1,1,0,0
185000,2,1,3,0
260000,1,1,4,0
84000,1,3,5,0
140000,2,3,3,1
339000,2,3,10,0
100000,1,2,0,0
95000,2,1,5,0
168000,1,1,0,0
239000,2,1,3,1
151000,1,3,4,1
312000,1,2,5,0
240000,2,2,5,0
238000,2,2,0,1
203000,1,3,4,1
540000,2,1,10,0
134000,1,2,4,0
50000,1,2,3,1
362000,1,3,2,0
117000,1,1,1,1
159000,1,1,0,0
308000,1,2,0,0
62000,1,3,8,0
75000,1,4,0,0
62000,1,2,3,0
97000,1,1,6,1
191000,2,1,4,0
200000,1,2,15,0
175000,1,1,3,0
69000,1,2,7,0
50000,1,3,2,0
155000,1,1,0,0
116000,1,1,9,1
193000,2,1,8,0
221000,1,1,11,0
162000,1,2,0,0
228000,1,1,5,1
170000,1,1,2,0
201000,1,1,0,0
102000,1,1,0,0
136000,1,2,4,1
167000,1,2,5,1
236000,1,2,0,0
121000,1,2,2,0
200000,1,1,5,1
130000,2,2,3,1
141000,1,1,10,1
237000,1,3,4,1
50000,1,1,2,0
74000,1,1,2,0
66000,1,1,2,0
50000,1,3,2,0
103000,2,1,1,0
227000,1,3,6,0
128000,1,1,2,0
167000,2,3,9,0
273000,1,2,7,0
311000,1,1,7,0
144000,1,1,3,0
316000,2,1,7,0
158000,1,3,2,0
95000,1,3,3,0
108000,1,1,2,1
66000,1,1,13,0
92000,2,1,11,0
123000,1,1,5,0
233000,1,2,2,1
386000,1,1,11,0
70000,1,1,9,0
186000,1,3,11,0
85000,1,2,8,1
195000,1,3,6,0
140000,1,1,7,0
55000,1,3,2,0
250000,1,2,3,0
108000,1,2,4,0
112000,1,1,3,0
83000,1,3,0,0
105000,1,2,9,1
190000,1,3,5,0
135000,1,2,6,0
180000,1,3,4,0
183000,2,2,3,0
310000,1,3,2,1
124000,2,1,3,0
67000,1,1,5,0
270000,2,2,0,1
125000,2,2,0,1
277000,2,2,0,1
185000,2,2,0,1
140000,1,2,3,0
182000,1,3,8,0
439000,1,1,4,1
470000,1,3,4,0
156000,2,1,1,1
164000,1,2,2,0
271000,2,3,2,0
94000,1,1,3,0
180000,1,1,2,0
148000,1,1,4,1
178000,2,2,0,1
95000,1,1,2,0
63000,1,1,4,0
50000,1,3,2,0
81000,2,1,4,0
117000,1,2,6,0
128000,1,2,3,1
435000,1,1,7,0
276000,1,1,2,0
88000,1,4,22,0
182000,2,2,3,1
120000,1,1,7,0
128000,1,3,5,1
166000,1,2,5,0
211000,2,1,1,0
124000,2,2,0,1
269000,1,2,0,0
80000,1,1,3,0
151000,1,3,0,0
626000,1,1,2,0
170000,1,1,0,0
330000,2,1,3,0
158000,2,3,0,1
206000,1,2,2,0
145000,1,3,0,0
137000,1,1,9,0
98000,1,3,3,0
190000,1,2,2,0
94000,1,1,4,0
216000,1,1,0,1
272000,2,3,4,0
184000,1,1,4,0
128000,1,2,0,0
193000,2,2,0,1
127000,1,1,5,1
251000,1,4,2,0
55000,2,3,5,0
125000,1,2,4,0
50000,1,2,4,0
66000,1,2,0,0
318000,1,2,3,0
245000,1,1,2,0
101000,1,1,4,1
66000,1,1,5,0
50000,1,2,4,0
111000,1,2,3,1
568000,1,1,3,0
191000,2,4,0,1
110000,2,1,3,0
194000,1,1,3,0
64000,1,1,2,0
127000,1,2,4,0
158000,1,1,2,0
143000,2,2,0,1
232000,1,2,0,0
181000,1,1,3,0
217000,1,4,5,0
103000,1,1,4,1
246000,1,2,0,0
367000,1,1,0,1
88000,1,2,4,0
92000,1,3,7,0
313000,2,1,11,0
135000,1,1,2,0
325000,1,1,11,0
118000,1,1,5,0
334000,1,4,3,0
161000,1,2,0,0
173000,1,2,2,0
355000,1,4,2,1
123000,1,3,5,0
89000,1,3,0,1
117000,1,1,3,0
192000,1,1,3,1
63000,1,1,8,0
213000,1,1,3,1
112000,1,1,3,0
282000,1,1,7,0
50000,1,1,2,0
97000,1,1,6,0
59000,1,1,6,0
95000,1,1,2,0
172000,1,1,4,0
136000,1,2,7,0
130000,1,2,2,0
137000,1,2,3,0
168000,1,1,7,1
86000,1,1,2,0
221000,1,1,3,1
216000,1,1,7,0
185000,1,1,1,0
204000,2,4,5,1
177000,1,1,0,0
459000,1,1,9,1
143000,1,2,13,1
127000,1,2,3,0
99000,1,1,6,1
85000,1,1,0,0
76000,1,3,1,0
92000,1,1,4,0
144000,1,2,5,1
180000,2,3,3,0
154000,1,1,2,0
98000,1,2,1,1
246000,1,1,3,1
225000,1,1,9,1
137000,1,1,3,0
105000,1,4,4,0
203000,1,1,3,1
166000,1,1,6,0
68000,1,3,5,0
144000,1,1,1,0
173000,1,3,7,1
91000,1,2,1,0
167000,1,2,7,0
67000,1,3,0,0
313000,1,2,5,1
298000,1,1,3,0
131000,1,4,3,0
183000,1,3,13,0
50000,1,3,6,1
79000,1,2,2,0
128000,1,2,3,1
83000,1,2,2,0
222000,1,1,7,0
450000,3,2,3,1
79000,3,2,0,0
95000,3,2,3,0
171000,3,1,0,0
364000,3,2,3,0
77000,3,2,3,0
172000,3,1,3,0
408000,3,4,3,0
60000,3,2,3,0
74000,3,1,0,0
119000,3,1,0,0
113000,3,2,3,1
235000,3,1,3,0
171000,3,3,3,1
57000,3,1,0,0
199000,3,1,0,1
109000,3,1,3,0
302000,3,2,0,0
106000,3,4,3,0
106000,2,3,1,1
202000,1,2,6,0
228000,2,3,3,0
192000,2,1,0,1
59000,1,2,3,0
202000,1,3,5,0
85000,2,1,4,1
171000,1,4,3,1
69000,1,1,4,0
192000,1,1,0,1
96000,1,2,2,0
74000,1,3,4,0
222000,1,1,2,1
171000,1,3,3,1
107000,1,1,5,0
333000,1,2,9,1
118000,1,2,3,0
153000,1,1,7,0
174000,1,2,0,1
107000,2,2,0,1
194000,1,2,3,0
112000,1,1,0,0
120000,1,1,2,0
317000,2,4,3,0
85000,1,2,5,0
50000,1,3,4,0
364000,1,2,4,0
610000,2,3,3,1
120000,1,1,4,0
52000,1,2,4,0
126000,1,2,2,0
128000,1,1,0,0
135000,1,1,1,0
81000,1,2,3,1
206000,2,3,6,0
200000,2,2,3,1
66000,1,1,5,0
220000,1,4,3,0
464000,2,1,6,0
165000,1,1,0,1
125000,1,4,7,1
139000,1,3,0,0
210000,1,3,7,0
58000,1,3,3,1
164000,1,2,12,0
121000,1,1,3,0
414000,2,1,0,1
136000,2,3,2,1
375000,1,3,2,0
82000,2,1,4,0
207000,1,1,2,0
179000,1,1,3,0
93000,1,1,4,0
165000,2,3,3,1
292000,1,1,12,0
126000,1,1,0,1
59000,1,3,0,0
149000,1,2,2,1
91000,2,2,0,1
124000,1,1,21,1
143000,1,1,3,0
59000,1,1,4,0
62000,1,1,2,0
196000,2,1,0,1
113000,1,1,0,0
50000,1,1,11,0
231000,1,1,9,0
174000,1,4,1,1
101000,1,1,3,0
73000,1,1,2,1
238000,1,3,4,0
182000,1,1,4,1
556000,1,2,4,1
189000,1,3,6,0
186000,1,2,3,0
137000,1,1,5,1
235000,1,2,3,0
212000,2,2,3,0
299000,1,1,2,0
113000,2,1,6,1
118000,2,1,4,0
115000,1,3,4,0
232000,1,1,8,1
342000,2,1,9,0
117000,1,2,3,0
119000,1,3,2,1
178000,1,1,2,0
131000,1,1,2,0
253000,1,1,0,0
50000,1,2,4,1
95000,2,2,9,0
98000,1,3,6,0
50000,1,1,2,0
88000,1,1,2,0
91000,2,1,10,0
134000,1,1,3,0
277000,1,2,2,1
131000,1,3,5,0
85000,1,1,5,0
145000,1,2,5,0
267000,2,1,7,0
88000,1,2,2,0
91000,2,1,4,0
204000,1,2,3,0
133000,1,1,3,0
214000,1,4,1,1
149000,1,3,4,0
221000,1,3,3,0
85000,1,3,1,0
149000,1,1,5,1
134000,1,2,4,0
77000,1,1,5,1
63000,1,3,2,0
219000,1,1,2,0
124000,1,1,4,1
85000,1,2,2,0
142000,1,1,4,0
279000,1,2,2,0
50000,1,1,3,1
66000,1,2,5,0
90000,1,3,4,0
335000,1,2,2,1
175000,1,1,5,0
229000,1,1,5,1
80000,1,1,1,0
81000,1,1,4,0
192000,1,2,3,0
155000,1,1,2,1
203000,1,1,4,0
135000,2,1,7,0
175000,1,3,8,1
164000,1,1,4,0
230000,1,1,2,0
234000,2,2,0,1
62000,2,1,4,1
50000,2,3,3,1
260000,1,1,3,0
288000,2,2,3,0
86000,1,2,0,0
54000,1,3,1,0
158000,1,2,3,0
250000,1,3,2,0
403000,2,1,0,0
199000,1,2,5,1
122000,2,2,13,0
92000,1,2,5,0
151000,2,2,3,0
127000,1,1,0,1
86000,1,1,5,1
463000,1,1,2,0
400000,1,1,6,0
280000,1,1,4,0
90000,1,1,2,0
240000,1,2,7,0
213000,1,2,9,0
191000,2,2,4,0
298000,1,2,3,1
213000,1,1,10,0
225000,1,1,0,0
213000,1,2,1,0
181000,1,3,4,1
56000,1,2,1,0
157000,1,2,4,0
110000,1,2,19,0
74000,1,2,4,1
378000,1,2,3,0
388000,1,2,4,0
317000,1,1,7,0
173000,1,1,4,0
315000,1,1,3,0
151000,1,2,0,0
168000,1,3,14,0
82000,1,1,3,1
187000,1,1,2,1
155000,1,3,3,0
73000,1,1,6,0
146000,1,3,5,1
144000,2,1,13,0
403000,1,1,0,1
245000,1,1,4,0
151000,1,1,3,1
172000,1,1,3,1
154000,1,1,2,0
134000,1,1,4,0
83000,1,1,8,1
138000,1,3,8,1
100000,1,1,4,0
75000,1,1,8,0
199000,1,1,2,0
186000,1,3,0,0
56000,1,3,10,0
140000,1,4,9,1
259000,1,3,2,0
269000,1,1,0,0
264000,1,2,4,0
153000,1,1,4,1
94000,1,3,2,0
83000,1,1,6,1
181000,2,1,0,1
185000,2,3,5,0
304000,1,3,2,1
275000,1,4,0,1
139000,1,1,4,0
76000,2,1,0,1
126000,2,1,0,1
169000,2,1,0,0
134000,2,2,0,1
109000,1,1,1,0
172000,1,3,13,0
114000,1,1,0,1
106000,1,2,5,0
178000,1,3,6,0
120000,1,2,3,1
172000,1,1,0,0
174000,2,1,16,1
80000,1,1,11,1
115000,1,2,0,0
331000,1,2,9,0
79000,2,1,0,1
50000,1,4,3,0
54000,1,2,6,1
152000,1,3,3,0
153000,1,1,1,0
141000,1,4,4,0
292000,2,1,2,0
50000,1,1,6,1
186000,1,3,0,0
354000,1,3,5,1
81000,1,2,4,0
122000,1,1,0,1
99000,1,1,3,0
92000,1,3,2,1
125000,1,3,3,1
329000,1,1,10,0
412000,1,1,2,1
125000,2,2,0,1
428000,2,2,13,1
153000,2,1,0,1
394000,2,2,7,0
142000,1,4,5,1
161000,1,1,1,0
183000,1,2,6,0
862000,2,2,0,1
240000,1,2,5,0
102000,1,3,3,1
256000,1,2,12,0
123000,1,2,3,0
115000,1,1,2,1
247000,1,2,0,0
153000,1,1,6,1
175000,1,1,4,1
151000,1,2,5,1
181000,1,2,3,0
189000,1,4,5,0
52000,1,2,3,0
216000,1,3,3,1
87000,1,1,3,0
68000,1,2,2,0
145000,1,4,2,0
157000,2,1,3,0
102000,1,3,0,1
237000,1,2,3,0
72000,1,1,3,0
120000,1,2,2,0
109000,1,1,7,1
146000,1,1,4,0
175000,1,1,2,0
86000,1,1,5,0
223000,1,1,4,1
155000,1,3,2,0
53000,1,1,6,1
51000,1,3,5,0
149000,1,2,0,1
133000,1,1,5,1
142000,1,1,3,0
148000,1,3,3,0
170000,1,2,4,1
253000,1,3,4,0
81000,1,1,6,0
79000,1,2,5,0
82000,1,3,9,1
176000,1,4,8,0
297000,1,1,2,0
118000,1,4,6,1
50000,1,1,4,0
59000,1,3,4,1
95000,1,2,7,0
110000,2,2,4,1
120000,1,1,6,1
153000,1,3,2,0
126000,1,1,8,0
267000,1,2,5,0
103000,1,2,18,1
93000,2,2,5,0
195000,1,2,2,0
64000,1,2,2,1
186000,1,2,5,1
159000,1,2,4,1
138000,1,2,8,0
359000,1,2,4,0
107000,1,3,3,0
466000,1,2,2,0
133000,1,1,4,0
74000,1,2,3,1
156000,1,1,9,0
83000,1,1,0,0
99000,1,3,3,1
187000,1,1,7,0
204000,1,2,6,0
107000,1,4,12,1
258000,1,1,0,1
284000,1,1,2,0
330000,1,1,4,0
201000,1,1,13,0
318000,2,2,0,1
53000,1,3,7,0
126000,1,2,0,0
93000,2,1,2,0
160000,1,2,11,1
110000,1,1,2,1
137000,1,2,8,0
422000,1,2,6,1
137000,1,1,4,0
188000,1,3,3,0
132000,1,3,14,0
156000,1,1,0,0
150000,1,2,3,0
192000,1,2,4,0
285000,1,1,0,0
371000,1,1,3,0
178000,1,2,3,1
207000,1,3,3,1
80000,1,2,2,1
143000,1,2,9,0
252000,1,2,5,1
242000,1,1,2,1
169000,1,1,2,0
244000,2,1,0,1
196000,1,3,7,1
290000,1,3,4,1
176000,1,3,4,1
123000,1,1,3,0
180000,1,2,3,0
50000,1,2,2,1
185000,1,1,10,1
50000,2,1,3,1
58000,1,3,5,0
192000,1,2,7,0
195000,1,2,10,0
79000,1,1,5,1
101000,1,2,2,1
319000,2,1,8,0
115000,1,1,4,1
515000,1,2,5,1
150000,1,1,3,1
188000,1,4,3,0
365000,1,2,0,0
161000,1,1,10,0
86000,1,1,4,1
141000,1,2,11,0
147000,1,1,4,1
71000,1,1,3,0
130000,1,1,6,0
100000,1,1,11,1
249000,3,2,3,0
153000,1,2,2,1
128000,1,1,2,0
141000,1,3,3,0
170000,2,1,2,0
211000,1,2,2,1
87000,1,1,8,0
85000,1,2,4,1
275000,1,1,5,0
120000,1,2,5,1
69000,1,1,7,0
191000,1,4,6,0
194000,1,1,3,0
65000,1,3,3,0
170000,1,3,3,1
225000,2,1,0,1
184000,1,1,3,0
212000,1,1,4,1
69000,1,4,0,0
180000,2,2,1,0
127000,1,2,2,0
115000,1,1,5,0
242000,2,3,3,0
338000,1,1,4,0
402000,1,1,0,0
309000,1,1,5,0
141000,2,2,3,1
182000,1,3,3,1
229000,1,3,0,0
160000,1,1,10,1
161000,1,1,5,0
236000,1,3,6,1
145000,1,2,3,1
100000,2,1,6,0
119000,1,1,2,0
213000,1,2,0,1
150000,1,4,1,0
181000,1,2,4,1
217000,1,1,3,0
122000,1,2,4,1
227000,1,1,7,1
185000,2,3,11,1
76000,1,1,8,1
332000,1,1,2,0
114000,1,2,2,0
60000,1,1,4,0
84000,2,1,0,0
86000,2,2,6,1
154000,1,3,3,0
129000,1,3,7,0
125000,1,1,7,0
211000,1,1,8,0
181000,2,2,5,1
178000,1,1,9,1
188000,1,1,3,1
211000,1,3,15,0
50000,1,4,2,0
123000,2,1,4,1
50000,1,3,7,1
153000,1,2,2,1
150000,1,1,0,0
267000,1,2,0,0
288000,1,1,7,1
168000,2,1,4,0
114000,1,4,6,1
196000,1,2,5,0
112000,1,1,2,0
150000,1,2,1,1
258000,1,4,4,0
110000,1,1,9,0
234000,1,3,7,0
218000,2,3,2,0
89000,1,1,4,0
256000,1,2,7,0
220000,1,2,0,0
159000,1,3,0,1
99000,1,1,1,0
94000,1,1,2,1
112000,2,1,0,1
202000,1,2,4,0
89000,1,3,5,1
191000,1,3,8,0
76000,1,2,2,1
134000,1,1,4,1
159000,1,1,3,1
576000,1,3,2,1
70000,2,2,5,0
337000,1,3,3,1
163000,1,1,0,1
188000,1,1,0,0
160000,1,3,0,0
192000,1,1,3,0
138000,1,1,0,1
334000,2,2,0,1
117000,1,2,6,0
280000,1,4,2,1
105000,1,3,4,0
145000,2,2,7,0
83000,1,1,6,0
193000,1,2,0,1
332000,1,3,3,1
144000,1,1,10,0
135000,1,4,5,1
81000,1,2,0,1
132000,1,1,0,0
62000,1,2,4,0
91000,1,2,6,0
170000,1,1,4,1
310000,1,1,2,0
703000,1,2,2,1
109000,2,1,6,0
330000,1,1,4,1
172000,1,2,2,0
138000,1,3,3,0
190000,1,2,1,0
155000,1,4,2,0
159000,1,3,1,0
120000,1,2,2,0
70000,1,1,3,0
64000,1,3,0,0
215000,1,1,4,0
129000,2,3,4,1
108000,2,2,4,1
151000,1,1,0,0
232000,1,2,0,1
166000,1,2,5,0
105000,1,3,0,0
294000,1,1,2,0
358000,1,3,3,0
197000,1,1,4,0
256000,2,3,2,1
297000,2,3,3,1
279000,1,1,0,0
210000,1,1,4,0
208000,1,3,2,1
200000,1,3,5,1
82000,1,1,2,0
221000,1,2,7,0
71000,1,3,2,1
97000,1,1,1,0
307000,1,2,0,0
238000,1,1,1,0
340000,2,1,0,1
129000,1,3,6,0
80000,1,1,2,0
131000,1,3,2,0
159000,1,2,6,0
157000,1,2,20,0
280000,1,1,6,1
123000,1,1,3,0
182000,1,3,5,0
87000,1,2,0,0
192000,1,3,0,0
150000,2,1,4,0
99000,1,1,3,0
132000,3,1,3,0
136000,3,3,3,0
129000,3,1,0,0
397000,3,2,3,0
142000,3,2,3,0
131000,3,1,0,0
50000,3,2,0,1
92000,3,2,3,0
130000,3,4,3,0
103000,3,1,0,1
321000,3,2,0,0
137000,3,1,0,0
305000,3,3,0,0
155000,3,2,3,0
153000,3,1,3,0
143000,3,3,0,0
150000,3,2,3,1
386000,3,1,0,0
50000,3,2,0,1
50000,3,1,0,0
111000,3,3,3,0
151000,3,2,0,0
219000,3,3,3,0
195000,1,3,3,1
121000,1,3,0,0
263000,1,1,1,1
264000,1,1,2,0
166000,1,1,2,1
255000,1,3,2,1
174000,1,3,5,0
110000,1,3,0,0
220000,1,1,7,0
159000,1,1,4,0
150000,1,3,0,0
337000,2,1,7,1
50000,1,2,2,1
69000,1,1,4,0
78000,1,1,43,0
123000,1,2,10,0
130000,1,4,0,1
65000,2,3,3,0
87000,1,2,7,1
93000,1,1,3,1
580000,1,3,0,1
404000,1,2,0,1
120000,1,2,2,0
123000,2,2,2,0
80000,1,1,4,1
53000,1,1,5,1
141000,2,3,2,0
87000,1,2,5,1
143000,1,1,0,1
62000,1,1,4,0
99000,1,4,0,0
163000,1,2,1,0
183000,1,2,2,1
189000,1,1,5,0
73000,1,4,3,1
240000,1,3,6,0
97000,1,2,2,0
212000,1,1,0,0
149000,1,2,6,1
70000,1,3,3,0
126000,1,3,4,1
183000,1,4,5,0
210000,2,2,10,1
139000,1,1,5,1
348000,1,2,4,1
261000,1,3,5,0
130000,1,1,5,0
227000,1,1,3,1
435000,1,2,2,0
441000,1,1,2,1
76000,1,3,4,0
90000,1,1,3,0
339000,1,1,1,0
84000,2,1,9,1
72000,1,2,4,1
115000,1,3,2,0
189000,1,2,8,0
142000,1,2,2,1
105000,1,1,0,0
104000,1,2,17,0
101000,1,4,0,0
92000,1,3,7,0
526000,1,1,1,0
177000,1,2,2,0
244000,1,1,2,0
115000,1,1,3,0
135000,1,1,2,0
101000,1,1,3,1
50000,1,1,4,1
70000,1,3,0,0
55000,1,1,0,0
50000,1,3,2,0
78000,1,3,3,0
311000,1,2,0,0
146000,1,2,2,0
305000,1,3,0,0
188000,1,1,3,0
231000,1,1,6,1
91000,1,2,2,0
200000,1,3,0,0
224000,1,3,0,0
109000,1,3,2,0
204000,1,2,0,0
205000,1,2,0,0
111000,1,3,0,0
81000,1,3,2,0
78000,1,2,0,0
157000,1,4,0,0
180000,2,3,0,1
97000,1,2,0,0
152000,1,1,0,0
205000,1,1,0,0
211000,1,3,0,0
352000,1,1,2,0
303000,1,2,0,0
86000,1,2,0,0
379000,1,3,8,1
112000,1,3,1,0
266000,1,3,0,0
156000,1,1,0,0
120000,1,1,0,0
56000,1,2,9,1
136000,1,1,2,0
64000,2,2,3,1
255000,1,4,2,0
345000,1,2,2,0
97000,1,2,2,0
177000,1,2,2,0
101000,1,3,6,1
106000,1,1,0,0
230000,1,2,4,0
147000,1,1,6,1
391000,2,2,3,0
115000,1,1,0,1
260000,1,2,0,0
158000,2,3,0,1
232000,1,1,2,1
117000,1,2,2,1
146000,1,1,3,1
